报告期,货币资金,应收账款,应收票据/应收款项融资,存货,合同资产,固定资产,在建工程,有息负债,合同负债,资产负债率,单位,口径,来源,证据等级
2024Q1,24.64,6.50,见原报表，未作核心判断,60.83,未单列/不重大,168.20,7.59,136.62,4.31,48.08%,亿元人民币，另有说明除外,期末时点；有息负债为报表项目代理,2024对应定期报告,A
2024Q2,35.90,8.51,见原报表，未作核心判断,60.98,未单列/不重大,162.99,8.78,131.60,3.78,45.10%,亿元人民币，另有说明除外,期末时点；有息负债为报表项目代理,2024对应定期报告,A
2024Q3,27.01,7.06,见原报表，未作核心判断,67.97,未单列/不重大,160.50,10.18,112.68,4.58,41.79%,亿元人民币，另有说明除外,期末时点；有息负债为报表项目代理,2024对应定期报告,A
2024Q4,25.44,6.49,见原报表，未作核心判断,75.46,未单列/不重大,164.50,5.42,105.86,1.09,40.19%,亿元人民币，另有说明除外,期末时点；有息负债为报表项目代理,2024对应定期报告,A
2025Q1,25.99,7.41,见原报表，未作核心判断,66.71,未单列/不重大,161.75,6.14,102.38,4.12,40.22%,亿元人民币，另有说明除外,期末时点；有息负债为报表项目代理,2025对应定期报告,A
2025Q2,21.77,7.95,见原报表，未作核心判断,79.55,未单列/不重大,156.27,7.00,97.67,3.64,38.88%,亿元人民币，另有说明除外,期末时点；有息负债为报表项目代理,2025对应定期报告,A
2025Q3,30.07,7.83,见原报表，未作核心判断,74.83,未单列/不重大,153.71,9.53,90.90,6.64,37.03%,亿元人民币，另有说明除外,期末时点；有息负债为报表项目代理,2025对应定期报告,A
2025Q4,25.51,4.09,见原报表，未作核心判断,108.27,未单列/不重大,152.37,6.23,114.93,4.76,42.90%,亿元人民币，另有说明除外,期末时点；有息负债为报表项目代理,2025对应定期报告,A
2026Q1,54.93,6.75,见原报表，未作核心判断,106.13,未单列/不重大,149.43,7.14,151.04,5.51,47.35%,亿元人民币，另有说明除外,期末时点；有息负债为报表项目代理,2026对应定期报告,A
