报告期,经营现金流净额,投资现金流净额,筹资现金流净额,自由现金流,资本开支,分红,回购,净利润现金含量,单位,口径,来源,证据等级
2021,175186,-178549,21620,113021,62165,12503,2170,77.92%,人民币百万元,"研究口径FCF=经营现金流-购置PPE/在建工程/投资物业-购置无形资产-土地使用权；资本开支采用同一现金支付口径，较公司定义更保守；分红及回购为现金流量表实际支付","reports/2021_annual.pdf（综合现金流量表）",A
2022,146091,-104871,-59953,95241,50850,12952,29307,77.61%,人民币百万元,"研究口径FCF=经营现金流-购置PPE/在建工程/投资物业-购置无形资产-土地使用权；资本开支采用同一现金支付口径，较公司定义更保守；分红及回购为现金流量表实际支付","reports/2023_annual.pdf（2022比较数及综合现金流量表）",A
2023,221962,-125161,-82573,174555,47407,20983,43767,192.65%,人民币百万元,"研究口径FCF=经营现金流-购置PPE/在建工程/投资物业-购置无形资产-土地使用权；资本开支采用同一现金支付口径，较公司定义更保守；分红及回购为现金流量表实际支付","reports/2023_annual.pdf（综合现金流量表）",A
2024,258521,-122187,-176494,162473,96048,28859,102331,133.21%,人民币百万元,"研究口径FCF=经营现金流-购置PPE/在建工程/投资物业-购置无形资产-土地使用权；资本开支采用同一现金支付口径，较公司定义更保守；分红及回购为现金流量表实际支付","reports/2025_annual.pdf（2024比较数及综合现金流量表）",A
2025,303052,-205732,-87155,190177,112875,37535,73312,134.78%,人民币百万元,"研究口径FCF=经营现金流-购置PPE/在建工程/投资物业-购置无形资产+土地使用权退款；资本开支采用同一现金支付口径，较公司定义更保守；分红及回购为现金流量表实际支付","reports/2025_annual.pdf（综合现金流量表）",A
