报告期,货币资金,应收账款,应收票据/应收款项融资,存货,合同资产,固定资产,在建工程,有息负债,合同负债,资产负债率,单位,口径,来源,证据等级
2024Q4,48.9572,0.7817,未取得可靠拆分,6.4704,未取得可靠拆分,1.2505,未取得可靠拆分,未取得可靠拆分,1.7267,36.60%,亿元,期末合并报表,招股书/2025年报,A
2025Q2,25.0476,3.8334,未取得可靠拆分,5.1187,未取得可靠拆分,未取得可靠拆分,未取得可靠拆分,未取得可靠拆分,0.0531,38.42%,亿元,期末合并报表,招股书,A
2025Q3,10.8635,1.2160,未取得可靠拆分,9.3777,未取得可靠拆分,未取得可靠拆分,未取得可靠拆分,未取得可靠拆分,0.0373,41.59%,亿元,期末合并报表,招股书/上市公告中的可得三表字段,A
2025Q4,91.7575,4.3389,未取得可靠拆分,13.3207,未取得可靠拆分,4.3132,未取得可靠拆分,未取得可靠拆分,0.2156,25.29%,亿元,期末合并报表,2025年报,A
2026Q1,50.2360,6.3782,未取得可靠拆分,21.9518,未取得可靠拆分,未取得可靠拆分,未取得可靠拆分,29.55宽口径代理,0.5732,25.63%,亿元,期末合并报表；有息负债为短借+一年内到期非流动负债+长借代理,2026Q1季报,A/计算
