报告期,单季收入,单季营业成本,单季毛利率,销售费用,管理费用,研发费用,财务费用,营业利润,归母净利润,扣非归母净利润,单位,口径,来源,证据等级
2024Q4,1.6023,0.3379,78.91%,0.4773,2.3256,5.3629,0.1109,-7.2793,-7.2825,约-7.32,亿元,年报-三季报；扣非为近似,招股书/2025年报,A
2025Q1,2.8886,0.646,77.64%,0.3167,0.7465,2.461,0.0525,-1.1244,-1.1249,-1.3605,亿元,单季度,招股书所载累计报表,A
2025Q2,4.129,1.5194,63.20%,0.3986,0.7794,3.1063,0.1351,-1.5863,-1.5845,-1.8063,亿元,半年报减Q1,招股书所载累计报表差分,A/计算
2025Q3,0.8284,0.8263,0.25%,0.6437,0.7236,3.0396,0.1357,-4.5251,-4.5259,-4.6968,亿元,三季报减半年报,招股书所载累计报表差分,A/计算
2025Q4,7.2093,2.1917,69.60%,0.9661,1.6005,4.4434,0.1254,-2.8433,-2.7726,-3.0167,亿元,年报减三季报,2025年报/招股书累计报表差分,A/计算
2026Q1,7.376,2.4081,67.35%,0.7644,0.7309,3.6902,0.1052,0.3064,0.2936,-0.5428,亿元,单季度,2026Q1季报,A
