报告期,单季收入,收入同比,单季毛利率,单季归母净利润,归母同比,扣非归母净利润,销售费用,研发费用,财务费用,单位,口径,来源,证据等级
2024Q1,126.14,,33.64,20.96,,20.83,7.36,6.56,1.25,亿元/%,单季=累计报表差分,AkShare/东方财富；2026Q1用季报核验,A/C
2024Q2,184.06,,31.58,28.63,,27.99,10.37,8.3,0.63,亿元/%,单季=累计报表差分,AkShare/东方财富；2026Q1用季报核验,A/C
2024Q3,189.26,,29.52,26.4,,24.98,10.04,8.9,1.3,亿元/%,单季=累计报表差分,AkShare/东方财富；2026Q1用季报核验,A/C
2024Q4,279.11,,27.48,34.37,,33.12,9.83,7.87,-0.27,亿元/%,单季=累计报表差分,AkShare/东方财富；2026Q1用季报核验,A/C
2025Q1,190.36,50.92,35.13,38.26,82.52,36.76,9.61,7.99,-0.59,亿元/%,单季=累计报表差分,AkShare/东方财富；2026Q1用季报核验,A/C
2025Q2,244.97,33.09,33.75,39.08,36.53,38.19,13.29,12.38,-2.04,亿元/%,单季=累计报表差分,AkShare/东方财富；2026Q1用季报核验,A/C
2025Q3,228.69,20.83,35.87,41.47,57.04,39.91,12.45,11.03,1.41,亿元/%,单季=累计报表差分,AkShare/东方财富；2026Q1用季报核验,A/C
2025Q4,227.82,-18.37,22.95,15.8,-54.02,13.43,12.97,10.34,1.61,亿元/%,单季=累计报表差分,AkShare/东方财富；2026Q1用季报核验,A/C
2026Q1,155.61,-18.26,33.26,22.91,-40.12,20.32,9.85,9.74,3.28,亿元/%,单季=累计报表差分,AkShare/东方财富；2026Q1用季报核验,A/C
