报告期,经营现金流净额,投资现金流净额,筹资现金流净额,资本开支,自由现金流,经营现金流/归母净利润,单位,口径,来源,证据等级
2021,-16.39,-37.13,51.79,16.66,-33.04,-103.53,亿元/%,合并报表,AkShare/东方财富；2023-2025用年报全文核验,A/C
2022,12.1,3.46,17.47,15.27,-3.16,33.69,亿元/%,合并报表,AkShare/东方财富；2023-2025用年报全文核验,A/C
2023,69.82,-38.21,32.8,27.41,42.41,73.96,亿元/%,合并报表,AkShare/东方财富；2023-2025用年报全文核验,A/C
2024,120.68,-108.53,2.59,27.86,92.82,109.35,亿元/%,合并报表,AkShare/东方财富；2023-2025用年报全文核验,A/C
2025,169.18,-32.71,-92.94,30.08,139.1,125.68,亿元/%,合并报表,AkShare/东方财富；2023-2025用年报全文核验,A/C
