报告期,总资产,货币资金,应收账款,存货,固定资产,在建工程,商誉,总负债,有息负债,合同负债,股东权益,资产负债率,单位,口径,来源,证据等级
2021,428.4,77.9,87.48,107.68,42.46,4.24,未核验,261.36,39.05,17.14,156.55,61.01,亿元/%,合并报表,AkShare/东方财富；2025用年报全文核验,A/C
2022,616.27,116.67,138.04,190.6,45.44,11.89,未核验,418.89,68.25,37.88,186.67,67.97,亿元/%,合并报表,AkShare/东方财富；2025用年报全文核验,A/C
2023,828.77,180.31,210.98,214.42,64.38,16.86,未核验,534.22,86.39,65.65,277.05,64.46,亿元/%,合并报表,AkShare/东方财富；2025用年报全文核验,A/C
2024,1150.74,197.99,276.4,290.28,90.02,22.65,2.97,748.75,113.17,100.26,369.05,65.07,亿元/%,合并报表,AkShare/东方财富；2025用年报全文核验,A/C
2025,1186.79,228.31,235.0,272.55,108.31,28.43,2.97,689.08,63.66,106.55,466.11,58.06,亿元/%,合并报表,AkShare/东方财富；2025用年报全文核验,A/C
