报告期,营业收入,收入同比,营业成本,毛利,毛利率,销售费用,管理费用,研发费用,财务费用,归母净利润,扣非归母净利润,净利率,EPS,单位,口径,来源,证据等级
2021,241.37,25.15%,187.65,53.72,22.25,15.83,4.91,11.61,2.83,15.83,13.36,6.56,1.08,亿元/%/元,合并报表,AkShare/东方财富；2023-2025用年报全文核验,A/C
2022,402.57,66.79%,303.76,98.81,24.55,31.69,6.12,16.92,-4.77,35.93,33.86,8.93,2.42,亿元/%/元,合并报表,AkShare/东方财富；2023-2025用年报全文核验,A/C
2023,722.51,79.47%,526.13,196.38,27.18,28.72,8.73,24.47,0.21,94.4,92.16,13.07,4.55,亿元/%/元,合并报表,AkShare/东方财富；2023-2025用年报全文核验,A/C
2024,778.57,7.76%,545.45,233.12,29.94,37.61,12.01,31.64,2.9,110.36,106.93,14.18,5.32,亿元/%/元,合并报表,AkShare/东方财富；2023-2025用年报全文核验,A/C
2025,891.84,14.55%,607.95,283.89,31.83,48.32,17.15,41.75,0.4,134.61,128.29,15.09,6.55,亿元/%/元,合并报表,AkShare/东方财富；2023-2025用年报全文核验,A/C
