报告期,总资产,货币资金,应收账款,存货,固定资产,在建工程,商誉,总负债,有息负债,合同负债,股东权益,资产负债率,单位,口径,来源,证据等级
2021,165.65,35.15,19.97,37.99,31.52,1.32,19.80,49.62,20.55,0.01,116.03,29.95%,亿元,合并资产负债表期末数,reports/2021_annual.pdf,A
2022,165.57,28.31,15.09,38.88,32.17,2.36,19.49,44.88,10.81,0.22,120.69,27.11%,亿元,合并资产负债表期末数,reports/2022_annual.pdf,A
2023,200.07,33.17,25.81,42.95,39.48,3.29,19.39,52.32,3.81,0.03,147.74,26.15%,亿元,合并资产负债表期末数,reports/2023_annual.pdf,A
2024,288.66,50.54,46.04,70.51,58.20,0.53,19.39,85.73,20.32,0.10,202.93,29.70%,亿元,合并资产负债表期末数,reports/2024_annual.pdf,A
2025,452.89,109.87,62.77,126.81,70.81,14.22,19.39,136.68,8.11,0.26,316.21,30.18%,亿元,合并资产负债表期末数,reports/2025_annual.pdf,A
