报告期,货币资金,应收账款,应收票据/应收款项融资,存货,合同资产,固定资产,在建工程,有息负债,合同负债,资产负债率,单位,口径,来源,证据等级
2024Q1,36.54,32.96,未从现有底稿单列,52.11,未从现有底稿单列,42.60,3.23,6.67,0.05,25.45%,亿元,合并资产负债表期末数,reports/2024Q1.pdf,A
2024Q2,32.69,39.82,未从现有底稿单列,61.69,未从现有底稿单列,47.44,3.11,9.10,0.12,29.82%,亿元,合并资产负债表期末数,reports/2024H1.pdf,A
2024Q3,34.15,47.09,未从现有底稿单列,71.53,未从现有底稿单列,51.41,3.98,13.71,0.16,31.11%,亿元,合并资产负债表期末数,reports/2024Q3.pdf,A
2024Q4,50.54,46.04,未从现有底稿单列,70.51,未从现有底稿单列,58.20,0.53,20.32,0.10,29.70%,亿元,合并资产负债表期末数,reports/2024_annual.pdf,A
2025Q1,71.24,48.06,未从现有底稿单列,78.19,未从现有底稿单列,59.06,1.56,21.11,0.15,30.39%,亿元,合并资产负债表期末数,reports/2025Q1.pdf,A
2025Q2,71.81,63.45,未从现有底稿单列,91.68,未从现有底稿单列,61.10,1.11,21.73,0.07,30.31%,亿元,合并资产负债表期末数,reports/2025H1.pdf,A
2025Q3,77.92,66.95,未从现有底稿单列,109.02,未从现有底稿单列,65.10,9.80,16.35,0.12,29.47%,亿元,合并资产负债表期末数,reports/2025Q3.pdf,A
2025Q4,109.87,62.77,未从现有底稿单列,126.81,未从现有底稿单列,70.81,14.22,8.11,0.26,30.18%,亿元,合并资产负债表期末数,reports/2025_annual.pdf,A
2026Q1,122.08,95.36,未从现有底稿单列,156.72,未从现有底稿单列,79.07,23.60,8.49,0.46,32.64%,亿元,合并资产负债表期末数,reports/2026Q1.pdf,A
