period,report,revenue,cost,gross_profit,gross_margin,sales_expense,admin_expense,rd_expense,finance_expense,parent_net_profit,cash,accounts_receivable,inventory,fixed_assets,construction_in_progress,goodwill,total_assets,total_liabilities,contract_liabilities,total_equity,parent_equity,short_term_debt,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capital_expenditure,free_cash_flow,year,quarter
2024Q1,2024Q1,4842546924.23,3256172866.75,1586374057.4799995,0.3275908488449484,44826387.36,129268529.76,257385577.66,25476235.79,1009266297.74,3653531311.41,3295720077.32,5210822914.44,4260256836.13,323058473.66,1938875331.92,22340346978.67,5684581767.29,4624854.31,16655765211.38,15704605930.64,106800000.0,560505000.0,650503647.23,665851810.74,342352660.05,703570059.35,-53066412.120000005,2024,1
2024Q2,2024H1,5956047261.52,3964601016.91,1991446244.6100006,0.33435702524996047,44347235.900000006,177206310.39,267326425.58,40166871.07,1349154753.68,3268607549.38,3982305103.25,6169407534.65,4743523809.66,311478745.6,1938875331.92,24422765089.32,7282948207.21,11554064.09,17139816882.11,16180326149.19,446800000.0,463242000.0,317597872.72,535160060.8499999,-116604169.58000001,554454432.4,-236856559.67999995,2024,2
2024Q3,2024Q3,6514007634.400002,4323018496.290001,2190989138.1100006,0.3363504099288349,45975534.469999984,165279380.5,217265638.28999996,-58355028.66,1394238118.73,3415155409.48,4708725315.87,7153167835.78,5140795815.1,397893171.43,1938875331.92,27124286366.57,8437590835.96,16183889.93,18686695530.61,17664657013.1,1052733624.39,318721500.0,347764773.70000005,797155785.96,597129461.43,776627434.52,-428862660.81999993,2024,3
2024Q4,2024_annual,6549557918.219997,4251774224.5199986,2297783693.699999,0.3508303495275415,64118962.49000001,207782233.56000006,502049208.76,137143073.70000002,1418826797.7000003,5053805073.94,4603556643.17,7051320216.04,5819881791.9,52537004.0,1938875331.92,28866276555.26,8573435376.03,9997267.28,20292841179.23,19133887012.66,1425680649.39,606280785.01,1848716664.1999998,943835871.97,669601328.2500001,831505395.69,1017211268.5099998,2024,4
2025Q1,2025Q1,6674176487.23,4224687051.6,2449489435.6299996,0.367009988470745,50101677.64,148387848.99,290341050.19,17293764.22,1582876128.67,7123531759.33,4805734850.94,7818629132.59,5905941730.88,156028029.63,1938875331.92,31582872453.01,9599142714.71,14560461.4,21983729738.3,20714619471.62,1503570649.39,607921785.01,2164459570.16,150887659.51,54891234.78,401563087.29,1762896482.87,2025,1
2025Q2,2025H1,8114898350.57,4748279788.16,3366618562.4099994,0.4148688519522274,50986105.3,142242000.93,295275948.40000004,22059968.740000002,2412239256.0299997,7180579082.39,6344804480.2,9168268345.69,6109609895.06,111067960.93,1938875331.92,34786708490.76,10542906376.72,6607423.92,24243802114.04,22818408698.8,1194570649.39,978864340.0,1054003717.1400003,544840826.87,311641436.83000004,552158956.76,501844760.3800001,2025,2
2025Q3,2025Q3,10215726013.52,5844590891.199999,4371135122.320002,0.4278829636322493,59775293.129999995,215549600.8,359714890.05999994,4087593.6599999964,3136817052.0,7792436280.82,6694526710.09,10902024234.63,6509770828.98,980154336.42,1938875331.92,39726194819.53,11708670128.61,12037278.48,28017524690.92,26389380978.26,560608980.0,1074000000.0,2236357940.13,608643348.9899999,976577153.13,660816212.01,1575541728.1200004,2025,3
2025Q4,2025_annual,13235134789.349998,7347979395.810001,5887155393.539997,0.4448126511168781,65312085.94,254695093.66999996,669949860.7300001,139356829.74,3665321863.750001,10986893131.96,6276876022.07,12680707624.68,7080613124.29,1421937387.37,1938875331.92,45288970887.78,13667772290.16,26327404.33,31621198597.62,29765156275.68,301353448.63,510000000.0,5441304932.6,1314251346.35,800450411.24,1145456439.85,4295848492.75,2025,4
2026Q1,2026Q1,19496398083.95,10516721119.21,8979676964.740002,0.4605813302577327,78739453.71,409240845.18,644688508.14,250760939.73,5734501526.83,12207695044.07,9535572287.39,15672078021.87,7907322983.19,2359775498.68,1938875331.92,56580677310.74,18465774898.96,45593201.52,38114902411.78,35587093635.48,318215722.37,530899159.34,3367573676.62,1947791652.29,7587642.85,1929199282.88,1438374393.7399998,2026,1
