报告期,营业收入,收入同比,营业成本,毛利,毛利率,销售费用,管理费用,研发费用,财务费用,归母净利润,扣非归母净利润,净利率,EPS,单位,口径,来源,证据等级
2021,76.95,历史基数未纳入本CSV,57.27,19.68,25.57%,0.73,4.34,5.41,0.84,8.77,7.28,11.40%,1.21,亿元；EPS为元/股,合并报表；扣非和EPS取年报主要财务指标,reports/2021_annual.pdf,A
2022,96.42,25.29%,68.16,28.26,29.31%,0.91,5.07,7.67,0.22,12.24,10.37,12.69%,1.54,亿元；EPS为元/股,合并报表；扣非和EPS取年报主要财务指标,reports/2022_annual.pdf,A
2023,107.18,11.16%,71.82,35.36,32.99%,1.25,4.34,7.39,0.84,21.74,21.24,20.28%,2.80,亿元；EPS为元/股,合并报表；扣非和EPS取年报主要财务指标,reports/2023_annual.pdf,A
2024,238.62,122.64%,157.96,80.67,33.80%,1.99,6.80,12.44,1.44,51.71,50.68,21.67%,4.72,亿元；EPS为元/股,合并报表；扣非和EPS取年报主要财务指标,reports/2024_annual.pdf,A
2025,382.40,60.25%,221.66,160.74,42.04%,2.26,7.61,16.15,1.83,107.97,107.10,28.24%,9.80,亿元；EPS为元/股,合并报表；扣非和EPS取年报主要财务指标,reports/2025_annual.pdf,A
