报告期,经营现金流净额,投资现金流净额,筹资现金流净额,自由现金流,资本开支,分红,回购,净利润现金含量,单位,口径,来源,证据等级
2021,8.13,-12.19,22.64,-0.27,8.40,未在结构化底稿逐年提取,未在结构化底稿逐年提取,0.93x,亿元,自由现金流=经营现金流-购建长期资产支付现金,reports/2021_annual.pdf,A
2022,24.49,-15.53,-16.41,16.57,7.92,未在结构化底稿逐年提取,未在结构化底稿逐年提取,2.00x,亿元,自由现金流=经营现金流-购建长期资产支付现金,reports/2022_annual.pdf,A
2023,18.97,-11.76,-3.16,1.93,17.04,未在结构化底稿逐年提取,未在结构化底稿逐年提取,0.87x,亿元,自由现金流=经营现金流-购建长期资产支付现金,reports/2023_annual.pdf,A
2024,31.65,-29.42,14.92,2.98,28.66,未在结构化底稿逐年提取,未在结构化底稿逐年提取,0.61x,亿元,自由现金流=经营现金流-购建长期资产支付现金,reports/2024_annual.pdf,A
2025,108.96,-26.19,-21.44,81.36,27.60,未在结构化底稿逐年提取,未在结构化底稿逐年提取,1.01x,亿元,自由现金流=经营现金流-购建长期资产支付现金,reports/2025_annual.pdf,A
