报告期,货币资金,应收账款,应收票据/应收款项融资,存货,合同资产,固定资产,在建工程,有息负债,合同负债,资产负债率,单位,口径,来源,证据等级
2024Q1,43.48,5.43,未披露/未拆分,1.29,0.39,未取得,未取得,未披露/未拆分,0.01,9.09%,亿元,期末余额，不做季度差分,2024Q1定期报告,A
2024Q2,13.83,5.21,未披露/未拆分,2.35,0.39,1.15,1.39,未披露/未拆分,0.01,13.67%,亿元,期末余额，不做季度差分,2024Q2定期报告,A
2024Q3,9.58,6.05,未披露/未拆分,10.15,0.38,未取得,未取得,未披露/未拆分,0.01,15.56%,亿元,期末余额，不做季度差分,2024Q3定期报告,A
2024Q4,19.86,3.05,未披露/未拆分,17.74,0.20,2.31,1.50,未披露/未拆分,0.01,19.16%,亿元,期末余额，不做季度差分,2024Q4定期报告,A
2025Q1,6.52,8.07,未披露/未拆分,27.55,0.20,未取得,未取得,未披露/未拆分,0.01,15.97%,亿元,期末余额，不做季度差分,2025Q1定期报告,A
2025Q2,19.53,1.41,未披露/未拆分,26.90,0.19,2.85,1.51,未披露/未拆分,5.43,19.68%,亿元,期末余额，不做季度差分,2025Q2定期报告,A
2025Q3,51.78,5.67,未披露/未拆分,37.29,0.19,未取得,未取得,未披露/未拆分,0.80,10.12%,亿元,期末余额，不做季度差分,2025Q3定期报告,A
2025Q4,13.17,6.71,未披露/未拆分,49.44,0.06,3.73,1.64,未披露/未拆分,0.01,11.87%,亿元,期末余额，不做季度差分,2025Q4定期报告,A
2026Q1,13.79,12.19,未披露/未拆分,44.97,0.06,未取得,未取得,未披露/未拆分,3.96,16.38%,亿元,期末余额，不做季度差分,2026Q1定期报告,A
