报告期,总资产,货币资金,交易性金融资产,应收账款,预付款项,存货,固定资产,在建工程,总负债,合同负债,股东权益,资产负债率,单位,口径,来源,证据等级
2021,69.8915,29.2085,,4.7804,0.8522,2.8703,2.7993,0.0106,10.0893,0.0023,58.9096,14.44%,亿元,期末合并报表,2021年报,A
2022,57.7082,24.6731,,7.6561,0.0828,2.8712,2.3324,0.2616,8.3110,0.0014,48.5489,14.40%,亿元,期末合并报表,2022年报,A
2023,64.1804,39.5371,7.0027,6.4392,1.4790,0.9940,1.4178,1.0916,6.8851,0.0026,56.4984,10.73%,亿元,期末合并报表,2023年报,A
2024,67.1781,19.8649,7.6018,3.0460,7.7438,17.7397,2.3143,1.5023,12.8733,0.0089,54.2266,19.16%,亿元,期末合并报表,2024年报,A
2025,134.3771,13.1736,42.6115,6.7064,7.4454,49.4353,3.7270,1.6350,15.9446,0.0061,118.3617,11.87%,亿元,期末合并报表,2025年报,A
