报告期,总资产,货币资金,应收账款,存货,固定资产,在建工程,商誉,总负债,有息负债,合同负债,股东权益,资产负债率,单位,口径,来源,证据等级
2021,551.27,82.39,46.20,59.05,85.54,57.72,19.26,163.70,32.65,29.86,387.57,29.7%,亿元,CAS合并期末,2021年报,A
2022,646.90,79.86,59.73,56.69,141.71,74.73,18.22,177.64,48.83,24.97,469.27,27.5%,亿元,CAS合并期末,2022年报,A
2023,736.69,137.64,79.01,47.36,171.90,69.82,18.21,181.52,46.49,19.55,555.17,24.6%,亿元,CAS合并期末,2023年报,A
2024,803.26,183.22,79.52,54.00,187.84,59.66,9.72,212.40,44.62,22.51,590.86,26.4%,亿元,CAS合并期末,2024年报,A
2025,1031.21,351.31,72.63,89.93,200.00,58.76,8.64,228.73,79.65,27.09,802.48,22.2%,亿元,CAS合并期末,2025年报,A
